event_date,date_id,venue_id,customer_id,channel_id,weather_id,num_tickets,ticket_price,total_spend
2025-01-01,20250101,3,1,1,355,4,50.0,200.0
2025-01-01,20250101,1,2,2,355,1,25.0,25.0
2025-01-01,20250101,1,3,3,355,6,120.0,720.0
2025-01-01,20250101,2,4,3,355,2,90.0,180.0
2025-01-01,20250101,2,5,2,355,4,50.0,200.0
2025-01-01,20250101,5,6,3,355,5,25.0,125.0
2025-01-01,20250101,1,7,4,355,1,25.0,25.0
2025-01-01,20250101,4,8,3,355,6,75.0,450.0
2025-01-01,20250101,1,9,2,355,3,60.0,180.0
2025-01-01,20250101,2,10,2,355,3,60.0,180.0
2025-01-01,20250101,2,11,2,355,2,35.0,70.0
2025-01-01,20250101,3,12,3,355,6,120.0,720.0
2025-01-01,20250101,5,13,5,355,4,150.0,600.0
2025-01-01,20250101,5,14,4,355,2,75.0,150.0
2025-01-01,20250101,1,15,4,355,1,50.0,50.0
2025-01-01,20250101,1,16,2,355,3,120.0,360.0
2025-01-01,20250101,2,17,2,355,6,75.0,450.0
2025-01-01,20250101,1,18,5,355,5,120.0,600.0
2025-01-01,20250101,1,19,2,355,1,50.0,50.0
2025-01-01,20250101,2,20,2,355,3,60.0,180.0
2025-01-01,20250101,2,21,1,355,4,90.0,360.0
2025-01-01,20250101,2,22,3,355,1,35.0,35.0
2025-01-01,20250101,1,23,4,355,1,25.0,25.0
2025-01-01,20250101,1,24,3,355,6,35.0,210.0
2025-01-01,20250101,3,25,4,355,2,75.0,150.0
2025-01-01,20250101,1,26,5,355,6,150.0,900.0
2025-01-01,20250101,2,27,1,355,5,90.0,450.0
2025-01-01,20250101,2,28,1,355,5,50.0,250.0
2025-01-01,20250101,2,29,5,355,2,120.0,240.0
2025-01-01,20250101,1,30,2,355,1,75.0,75.0
2025-01-01,20250101,5,31,3,355,6,75.0,450.0
2025-01-01,20250101,1,32,4,355,2,60.0,120.0
2025-01-01,20250101,2,33,4,355,5,60.0,300.0
2025-01-01,20250101,4,34,3,355,1,150.0,150.0
2025-01-01,20250101,2,35,3,355,4,35.0,140.0
2025-01-01,20250101,1,36,5,355,6,75.0,450.0
2025-01-01,20250101,2,37,4,355,3,90.0,270.0
2025-01-01,20250101,2,38,2,355,1,60.0,60.0
2025-01-01,20250101,3,39,2,355,1,35.0,35.0
2025-01-01,20250101,3,40,4,355,2,75.0,150.0
2025-01-01,20250101,1,41,2,355,4,120.0,480.0
2025-01-01,20250101,1,42,4,355,5,50.0,250.0
2025-01-01,20250101,4,43,3,355,4,150.0,600.0
2025-01-01,20250101,3,44,2,355,4,90.0,360.0
2025-01-01,20250101,1,45,5,355,5,150.0,750.0
2025-01-01,20250101,1,46,1,355,1,75.0,75.0
2025-01-01,20250101,2,47,1,355,4,75.0,300.0
2025-01-01,20250101,2,48,5,355,2,90.0,180.0
2025-01-01,20250101,1,49,2,355,6,35.0,210.0
2025-01-01,20250101,1,50,5,355,4,120.0,480.0
2025-01-01,20250101,5,51,1,355,4,90.0,360.0
2025-01-01,20250101,1,52,4,355,1,150.0,150.0
2025-01-01,20250101,2,53,1,355,4,25.0,100.0
2025-01-01,20250101,1,54,5,355,1,35.0,35.0
2025-01-01,20250101,4,55,4,355,5,50.0,250.0
2025-01-01,20250101,2,56,3,355,4,90.0,360.0
2025-01-01,20250101,2,57,4,355,2,35.0,70.0
2025-01-01,20250101,1,58,4,355,4,50.0,200.0
2025-01-01,20250101,3,59,3,355,5,150.0,750.0
2025-01-01,20250101,3,60,4,355,1,75.0,75.0
2025-01-01,20250101,1,61,5,355,6,35.0,210.0
2025-01-01,20250101,4,62,3,355,3,35.0,105.0
2025-01-01,20250101,1,63,3,355,4,25.0,100.0
2025-01-01,20250101,1,64,4,355,2,50.0,100.0
2025-01-01,20250101,2,65,5,355,6,60.0,360.0
2025-01-01,20250101,4,66,2,355,6,150.0,900.0
2025-01-01,20250101,2,67,2,355,4,90.0,360.0
2025-01-01,20250101,2,68,1,355,3,150.0,450.0
2025-01-01,20250101,2,69,3,355,5,50.0,250.0
2025-01-01,20250101,2,70,2,355,3,120.0,360.0
2025-01-01,20250101,5,71,3,355,3,90.0,270.0
2025-01-01,20250101,3,72,3,355,6,90.0,540.0
2025-01-01,20250101,1,73,4,355,2,75.0,150.0
2025-01-01,20250101,2,74,1,355,4,120.0,480.0
2025-01-01,20250101,4,75,3,355,1,150.0,150.0
2025-01-01,20250101,1,76,3,355,4,25.0,100.0
2025-01-01,20250101,2,77,5,355,1,50.0,50.0
2025-01-01,20250101,3,78,5,355,2,35.0,70.0
2025-01-01,20250101,1,79,3,355,4,150.0,600.0
2025-01-01,20250101,2,80,4,355,2,50.0,100.0
2025-01-01,20250101,3,81,5,355,1,75.0,75.0
2025-01-01,20250101,1,82,3,355,1,75.0,75.0
2025-01-01,20250101,1,83,2,355,4,120.0,480.0
2025-01-01,20250101,1,84,1,355,1,60.0,60.0
2025-01-01,20250101,1,85,1,355,3,120.0,360.0
2025-01-01,20250101,4,86,4,355,5,75.0,375.0
2025-01-01,20250101,1,87,3,355,4,60.0,240.0
