acct_id,customer_id
ACCT20000,1
ACCT20001,2
ACCT20002,3
ACCT20003,4
ACCT20004,5
ACCT20005,6
ACCT20006,7
ACCT20007,8
ACCT20008,9
ACCT20009,10
ACCT20010,11
ACCT20011,12
ACCT20012,13
ACCT20013,14
ACCT20014,15
ACCT20015,16
ACCT20016,17
ACCT20017,18
ACCT20018,19
ACCT20019,20
ACCT20020,21
ACCT20021,22
ACCT20022,23
ACCT20023,24
ACCT20024,25
ACCT20025,26
ACCT20026,27
ACCT20027,28
ACCT20028,29
ACCT20029,30
ACCT20030,31
ACCT20031,32
ACCT20032,33
ACCT20033,34
ACCT20034,35
ACCT20035,36
ACCT20036,37
ACCT20037,38
ACCT20038,39
ACCT20039,40
ACCT20040,41
ACCT20041,42
ACCT20042,43
ACCT20043,44
ACCT20044,45
ACCT20045,46
ACCT20046,47
ACCT20047,48
ACCT20048,49
ACCT20049,50
ACCT20050,51
ACCT20051,52
ACCT20052,53
ACCT20053,54
ACCT20054,55
ACCT20055,56
ACCT20056,57
ACCT20057,58
ACCT20058,59
ACCT20059,60
ACCT20060,61
ACCT20061,62
ACCT20062,63
ACCT20063,64
ACCT20064,65
ACCT20065,66
ACCT20066,67
ACCT20067,68
ACCT20068,69
ACCT20069,70
ACCT20070,71
ACCT20071,72
ACCT20072,73
ACCT20073,74
ACCT20074,75
ACCT20075,76
ACCT20076,77
ACCT20077,78
ACCT20078,79
ACCT20079,80
ACCT20080,81
ACCT20081,82
ACCT20082,83
ACCT20083,84
ACCT20084,85
ACCT20085,86
ACCT20086,87
ACCT20087,88
ACCT20088,89
ACCT20089,90
ACCT20090,91
ACCT20091,92
ACCT20092,93
ACCT20093,94
ACCT20094,95
ACCT20095,96
ACCT20096,97
ACCT20097,98
ACCT20098,99
ACCT20099,100
ACCT20100,101
ACCT20101,102
ACCT20102,103
ACCT20103,104
ACCT20104,105
ACCT20105,106
ACCT20106,107
ACCT20107,108
ACCT20108,109
ACCT20109,110
ACCT20110,111
ACCT20111,112
ACCT20112,113
ACCT20113,114
ACCT20114,115
ACCT20115,116
ACCT20116,117
ACCT20117,118
ACCT20118,119
ACCT20119,120
ACCT20120,121
ACCT20121,122
ACCT20122,123
ACCT20123,124
ACCT20124,125
ACCT20125,126
ACCT20126,127
ACCT20127,128
ACCT20128,129
ACCT20129,130
ACCT20130,131
ACCT20131,132
ACCT20132,133
ACCT20133,134
ACCT20134,135
ACCT20135,136
ACCT20136,137
ACCT20137,138
ACCT20138,139
ACCT20139,140
ACCT20140,141
ACCT20141,142
ACCT20142,143
ACCT20143,144
ACCT20144,145
ACCT20145,146
ACCT20146,147
ACCT20147,148
ACCT20148,149
ACCT20149,150
ACCT20150,151
ACCT20151,152
ACCT20152,153
ACCT20153,154
ACCT20154,155
ACCT20155,156
ACCT20156,157
ACCT20157,158
ACCT20158,159
ACCT20159,160
ACCT20160,161
ACCT20161,162
ACCT20162,163
ACCT20163,164
ACCT20164,165
ACCT20165,166
ACCT20166,167
ACCT20167,168
ACCT20168,169
ACCT20169,170
ACCT20170,171
ACCT20171,172
ACCT20172,173
ACCT20173,174
ACCT20174,175
ACCT20175,176
ACCT20176,177
ACCT20177,178
ACCT20178,179
ACCT20179,180
ACCT20180,181
ACCT20181,182
ACCT20182,183
ACCT20183,184
ACCT20184,185
ACCT20185,186
ACCT20186,187
ACCT20187,188
ACCT20188,189
ACCT20189,190
ACCT20190,191
ACCT20191,192
ACCT20192,193
ACCT20193,194
ACCT20194,195
ACCT20195,196
ACCT20196,197
ACCT20197,198
ACCT20198,199
ACCT20199,200
ACCT20200,201
ACCT20201,202
ACCT20202,203
ACCT20203,204
ACCT20204,205
ACCT20205,206
ACCT20206,207
ACCT20207,208
ACCT20208,209
ACCT20209,210
ACCT20210,211
ACCT20211,212
ACCT20212,213
ACCT20213,214
